text,substance_label,symptom_labels
Our purpose is to alert surgeons and therapists to a rare but potentially devastating complication and to provide our experience in treating it.,none,['none']
"Although useful in the management of chronic alcoholism, disulfiram is being increasingly associated with a wide spectrum of side effects and untoward medical sequelae, which now include catatonia.",none,['adverse_event']
"As NBD-Cl has not been reported as an allergen before, the characteristics of this chemical and its use as an analytical reagent are briefly surveyed.",none,['none']
Immunoprecipitation analysis revealed a band with the molecular weight of the Band 3 anion channel only in the presence of the patient's serum and oxaliplatin.,none,['none']
Five patients were treated with topical neomycin-polymyxin B-gramicidin (Neosporin) and propamidine isethionate (Brolene) drops.,none,['none']
Protein in vitamin K absence (PIVKA) is the prothrombin precursor found in plasma when carboxylation to prothrombin is impaired.,none,['none']
Mitral valve endocarditis resulting from coagulase-negative Staphylococcus after stent implantation in a saphenous vein graft.,none,['none']
This case is the first report in which RLS augmentation is shown to be characterized by motor hyperkinesias paralleling levodopa plasma pharmacokinetic profile.,none,['none']
"We report a case of Thrombotic Thrombocytopenic Purpura occurring as an allergic response to trimethoprim-sulfamethoxazole therapy (Bactrim, Septra) in a Jehovah's Witness patient.",none,['adverse_event']
"During the following years, the patient was retested regularly.",none,['none']
These enzymes may be associated with toxic reactions of differing frequency and severity.,none,['none']
"Less common adverse events to dapsone include the idiosyncratic reactions of leukopenia and agranulocytosis, cutaneous eruptions, peripheral neuropathy, psychosis, toxic hepatitis, cholestatic jaundice, nephrotic syndrome, renal papillary necrosis, severe hypoalbuminemia without proteinuria, an infectious mononucleosis-like syndrome, and minor neurological and gastrointestinal complaints.",none,['adverse_event']
"CASE REPORT: We hereby report a case of radiation recall dermatitis and myositis occurring on gemcitabine monotherapy, five months after completing chemoradiation for locally advanced pancreatic cancer.",none,['adverse_event']
"The role of antiemetics is invaluable in allowing cancer patients to complete, otherwise possibly intolerable, chemotherapy.",none,['none']
The catheter had been in place for 28 months for administration of a 27 month course of intravenous cefotaxime for an unsubstantiated diagnosis of chronic Lyme disease.,none,['none']
Patient 2 underwent two attempted operative anastamotic revisions with thrombectomies and local thrombolysis prior to CDT.,none,['none']
"Subsequently, five episodes of Wenckebach (Mobitz type 1) heart block with a ventricular rate of 28 beats/minute were observed on continuous cardiac telemetry.",none,['none']
Electron microscopy revealed selective loss of myosin filaments in many fibers.,none,['none']
"She subsequently developed similar symptoms after multiple rechallenges with various loop diuretics including furosemide, bumetanide, and torsemide.",none,['none']
It is of value in treating temper states in epilepsy and has the advantage of not causing extrapyramidal symptoms and side-effects are slight after the first week.,none,['none']
The authors calculated that the blood lactate concentration could rise by 50% without requiring net lactic acid accumulation when the severe acidemia was corrected by alkali therapy.,none,['none']
"Before FAB therapy was started, the total serum DGTX concentration was 535 nmol/l.",none,['none']
"In some patients, this pH shift may be quite transient and temporary; whereas, in some patients with other maladies, the acidosis may be much more serious.",none,['none']
"Clinical consequences are discussed and disturbances of the blood brain barrier system as a speculative cause are hypothesized taking previous studies, animal studies and an additional reported clinical case into account.",none,['none']
"In the course of modifying her anticonvulsant regimen, the authors examined the 6beta-hydroxycortisol/cortisol ratio (6beta-OHF/F) in her urine, which can be the index of hepatic CYP3A4 activity, with electrospray ionization/mass spectrometry/mass spectrometry (ESI/MS/MS).",none,['none']
"Hemostasis was difficult to achieve, as the divided or disrupted amyloid-laden cortical vessels failed to vasoconstrict, their contractile elements replaced by amyloid beta protein.",none,['none']
The clinical and histologic presentation of this side effect and possible biochemical mechanisms of pathogenesis are discussed.,none,['none']
"A 16-year-old poorly compliant, steroid-dependent subject with asthma received two courses of high-dose intravenous methylprednisolone during a 3-week period, followed by a tapering schedule of oral prednisone.",none,['none']
Citalopram: an interaction study with clomipramine in a patient heterozygous for CYP2D6 genotype.,none,['none']
"We present a case report where switching from clozapine to quetiapine maintained the improvement in clinical status, after remittance of eosinophilia.",none,['none']
Development of tics in a thirteen-year-old male following atomoxetine use.,none,['adverse_event']
"A 37-year-old female patient was diagnosed with ulcerative colitis 8 months ago and medical treatment with oral azathioprine, low-dose corticosteroids and 5-ASA was started.",none,['none']
Severe apnea in an infant exposed to lamotrigine in breast milk.,none,['adverse_event']
"Despite vigorous therapy for the hyperthermia, he rapidly developed significant hypoxia requiring mechanical ventilation.",none,['none']
"These results suggest that the slowed clearance of cerivastatin in this patient might have been compounded by cytochrome P450, 2C8 dysfunction.",none,['none']
Nitrofurantoin is commonly used to treat urinary tract infections during pregnancy.,none,['none']
"After 14 months of follow-up, the patient is well and free of disease.",none,['none']
The postoperative course was uneventful and topical steroids were combined with neomycin and propamidine.,none,['none']
Medicolegal problems in the management of cardiac arrhythmias in children.,none,['none']
Hematological toxicity was moderate even at the 100 mg/m2 dose level.,none,['none']
A case of severe acute hepatitis caused by cyproterone acetate in a 71 year old man with prostatic carcinoma is reported with a review of the literature on hepatic reactions to this drug.,none,['adverse_event']
"Coagulase-negative staphylococci were detected in cerebrospinal fluid (CSF), and the infection persisted even with intrathecal administration of gentamycin, and intravenous administration of vancomycin and arbekacin.",none,['none']
"Parameters of potassium, sodium, calcium, and phosphate metabolism as well as specific renal functions have been studied in the basal state and during administration of graded doses of phosphate (500-6000 mg).",none,['none']
"PURPOSE: Visually significant, pigmented cellular membranes may form on intraocular lenses after implantation.",none,['none']
Interstitial pneumopathy and low-dosage amiodarone.,none,['adverse_event']
"Bisphosphonates in oral or intravenous forms are used to treat various diseases such as certain cancers, bone- and calcium-related disorders, osteoporosis, and osteopenia.",none,['none']
"The dog underwent multiple operations involving internal fixation of the fractured scapula with wire and a plate, followed by extensive chemotherapy with antibiotics and prednisolone.",none,['none']
"On visual field testing, a progressive evolution to a total and absolute central scotoma in the RE (central 10 degrees ) and an annular scotoma in the LE became apparent.",none,['none']
"Both patients recovered immediately without any signs of adverse effects and the two shunt systems have now been working properly for more than 36 and 21 months, respectively.",none,['none']
A case of transient bullous dermolysis of the newborn associated with Wilms' tumor is reported.,none,['none']
Asthmatic patients receive multiple drugs as part of their treatment program.,none,['none']
Multiple stones and tumor cells infiltration were demonstrated in both kidney.,none,['none']
"We describe a patient with transitional cell carcinoma of the renal pelvis who developed respiratory dysfunction and an abnormal chest x-ray with diffuse interstitial opacities while on chemotherapy with piritrexim, a methotrexate analog.",none,['adverse_event']
Development of neuroleptic malignant syndrome (NMS) following discontinuation of high-dose and high-potency neuroleptic agents is described.,none,['none']
Barbiturates offer a mechanism of action that is different from that of benzodiazepines.,none,['none']
Prolonged prostate-specific antigen response in flutamide withdrawal syndrome despite disease progression.,none,['adverse_event']
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,none,['adverse_event']
OBJECTIVE: To report on the possible development of serotonin syndrome in a patient receiving clomipramine after clozapine was withdrawn from the treatment regimen.,none,['adverse_event']
"We report a case of biopsy-proven acute tubulointerstitial nephritis associated with a second course of flurbiprofen, a nonsteroidal anti-inflammatory drug of the propionic acid class.",none,['adverse_event']
Untreated tumors displayed continued growth.,none,['none']
We report an unusually short lived and asymptomatic episode of severe cisplatin-induced renal tubular salt wasting in a fit 41-year-old patient with malignant teratoma.,none,['adverse_event']
We described a patient who developed heart failure and pericarditis after bone marrow transplantation for a hematologic malignancy.,none,['none']
METHODS: Single case report of failure of Baclofen pump investigated by radioisotope injection.,none,['none']
Exposure to the individual compounds was determined by calculating the AUC.,none,['none']
"Transient decreases in hematocrit, complement components, and immunoglobulin concentrations occurred.",none,['none']
Endoscopic injection of sclerosing agents is a strategy for control of esophageal varix bleeding.,none,['none']
Significant clinical improvement of the porphyria followed withdrawal of the diphenylhydantoin.,none,['adverse_event']
The progressive regression was remarkable.,none,['none']
He underwent removal of the allograft and implantation of another liver.,none,['none']
Sleep improvement in an insomniac patient with global pituitary insufficiency after change from triple to quadruple cortisol replacement therapy.,none,['none']
His immune system at this time was almost completely depleted.,none,['none']
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",none,['adverse_event']
Bortezomib is the first anticancer proteasome inhibitor introduced into clinical practice.,none,['none']
Recurrent ischemic stroke involving an initially unaffected arterial territory during the course of thrombolysis has been reported but remains exceptionally rare.,none,['none']
Genotyping prior to medication may be useful in evaluating patients with a high risk of severe systemic reaction to SASP.,none,['none']
"In this report, we suppose the possibility to develop a foetal malformations after a long-term wash out from isotretinoin therapy.",none,['none']
Hydroxyurea and sodium phenylbutyrate therapy in thalassemia intermedia.,none,['none']
A patient with a 30% scald burn was treated with topical silver sulfadiazine (Silvadene).,none,['none']
RESULTS: There is no reliable and effective treatment of anterior ischemic optic neuropathy.,none,['none']
Primary osteogenic sarcoma of the skull.,none,['none']
"RESULTS: A well-documented case report involving tap (draft) beer consumed while on an MAOI supports an earlier study, which recommended that all tap beers be restricted on MAOI diets.",none,['none']
"Reactivation of human herpesvirus-6 (HHV-6) is frequently observed, although the cause of DIHS is still unknown.",none,['none']
Histologic examination showed in both cases epithelioid granulomas in close relation with scattered pigment.,none,['none']
"She developed a pre-engraftment immune reaction, which responded well to prednisolone, and engraftment was documented.",none,['none']
"Tc-99m labelled Anti CD 66 monoclonal antibody imaging is a useful, noninvasive approach to the assessment of bone marrow reserve under such circumstances.",none,['none']
"In addition to antimicrobial therapy, treatment usually involves craniotomy and excision of the abscess.",none,['none']
Positive CSF PCR of JC virus confirmed the diagnosis.,none,['none']
"DISCUSSION: Amphotericin B deoxycholate has been reported to produce significant cardiac toxicity, with ventricular arrhythmias and bradycardia reported in overdoses in children and in adults with preexisting cardiac disease, even when administered in conventional dosages and infusion rates.",none,['overdose']
Our literature review revealed an additional six cases of onset of inflammatory arthritis in MS patients receiving IFN-beta.,none,['adverse_event']
Rare instances of autoimmune conditions have been observed in association with its use.,none,['none']
The drug was identified and quantitated in plasma and urine using an HPLC technique with diode-array detection.,none,['none']
"On discontinuation of the drug, serum CK concentrations returned to normal within eight days.",none,['none']
Hycanthone is an antischistosomal drug with promising antitumor activity against experimental animal tumors.,none,['none']
"The multiple drug schema consisted of: Etoposide 16.213, Methotrexate, Cyclophosphamide, Actomycin-D, and Cisplatin.",none,['none']
"Over 20 years, 877 patients with Crohn's disease, 492 women (56.1%) and 385 men (43.9%), were evaluated with patient follow-up data available for a mean of 7.8 years.",none,['none']
History revealed that the patient had taken a combination phenolphthalein/docusate sodium (Correctol) over-the-counter laxative 1 day prior to admission.,none,['none']
"Six of 13 outpatients with schizophrenia who participated in a ten-week open trial of risperidone had an initial good response to the medication followed by development of intolerable affect, including feelings of agitation and depression and periods of crying and insomnia.",none,['adverse_event']
Severe systemic hypersensitivity reaction to ibuprofen occurring after prolonged therapy.,none,['adverse_event']
"Unexpectedly, liver function returned to normal on stopping the drug.",none,['none']
Paraspinal muscle impingement causing acute Brown-Sequard syndrome after posterior cervical decompression.,none,['none']
"Administration of low-dose cidofovir was associated with clearance of BK virus DNA from blood and allograft, and stabilization of renal function in both patients, without significant toxicity.",none,['none']
"After rechallenge with monotherapy pegvisomant, however, the hepatic enzyme disturbances reappeared within a few weeks, indicating that most likely pegvisomant alone and not the long-acting somatostatin analog or the combination of these two drugs was responsible for this case of drug-induced hepatitis.",none,['adverse_event']
Nephrotic range proteinuria gradually regressed after stoppage of local injection of IFN-beta without glucocorticoid treatment.,none,['none']
Two cases of candidiasis occured in the stomach.,none,['none']
"Initial treatment for MN consisted in corticosteroids and immunosuppressors (ciclosporin, mycophenolate mofetil, rituximab, chlorambucil) in all patients.",none,['none']
"Findings of electrophysiologic study and cardiac magnetic resonance imaging were within normal limits, pointing to the ingestion of Aconitum as the most likely source of his arrhythmia.",none,['none']
"Two complications were identified (0.1%), one at each institution.",none,['none']
The authors have encountered this entity in two patients who were deemed disease-free following combination chemotherapy for malignant disease.,none,['none']
Molluscum contagiosum is a common viral skin infection in children with atopic diathesis and not rare in HIV patients.,none,['none']
An encephalopathy and cardiomyopathy developed in a seventeen-year-old girl with chemotherapy-induced renal failure while receiving an intravesical aluminum infusion for hemorrhagic cystitis.,none,['adverse_event']
"In each case, 25-100 micrograms of intracoronary nitroglycerin promptly (30-45 seconds) resulted in reopacification of the vessel involved in spasm and resolution of evidence for ischemia.",none,['none']
"OBJECTIVE: To report a case of serotonin syndrome associated with interaction between fentanyl and citalopram, as evidenced by medication history, clinical features and reversal following discontinuation of fentanyl.",opioid,['adverse_event']
No relationship was identified between the extent and the severity of the skin lesions with the phenytoin and radiation dosages and with the histologic type and origin of the intracranial malignancy.,none,['none']
The patient expired after seven cycles of treatment had been completed because of pulmonary fibrosis and the drug toxicity of bleomycin.,none,['adverse_event']
Treatment strategies involved use of antimicrobials and supporting the damaged multi-organs.,none,['none']
Many types of skin disorders concomitantly occur with hepatitis C virus infection.,none,['none']
"After 8 months of administration of human insulin by a jet injector, there were no more new lesions of lipoatrophy and those affected areas were substantially ameliorated.",none,['none']
"Stenotrophomonas maltophilia (previously named Xanthomonas maltophilia) is an aerobic, nonfermentive, Gram-negative bacillus that is widespread in the environment.",none,['none']
"With the recent Women's Health Initiative Study demonstrating increased risk of breast cancer and cardiovascular events associated with hormone therapy, many women may resort to herbal remedies for persistent menopause symptoms.",none,['none']
Macrophage activation syndrome in systemic juvenile rheumatoid arthritis successfully treated with cyclosporine.,none,['none']
A forty-two year old female with known alcoholic liver disease was given intravenous lorazepam and diazepam for delirium tremens.,none,['none']
These patients often experience acute intradialytic manifestations while non-pharmacologic interventions as pharmacologic agents are sometimes insufficient to improve symptoms.,none,['none']
It is recommended that daily leukocyte counts be done in burn patients being treated with silver sulfadiazine.,none,['none']
"We report a case of a young woman with SLE and thrombocytopenia, who developed severe perspiration, headache, and seizure after receiving cyclosporine.",none,"['headache', 'seizure']"
We report the first case of doxycycline-induced hypoglycemia in a young nondiabetic man.,none,['adverse_event']
Complete relief of pain was noted in 73% of patients during the treatment.,none,['pain']
CONCLUSION: This case and the results of the analyses are in accordance with the described problems and results published earlier.,none,['none']
Pancreatitis has been associated with the tetracycline class of antibiotics and concerns about tigecycline-induced acute pancreatitis have recently been raised.,none,['adverse_event']
BACKGROUND: Pemphigus is an autoimmune blistering disease of the skin and mucous membranes.,none,['none']
All three patients had rheumatoid arthritis and had received chloroquine for between 12 and 18 months with a maximum dose of 250 mg/daily.,none,['none']
"After cessation of the sulfasalazine and completion of a six-week course of corticosteroids, these problems resolved over a period of four to six months.",none,['none']
"Retrospectively, bucillamine was believed to be the cause of the giant hypertrophy because of its structural similarity to D-penicillamine, which was the subject of an abundance of reports of mammary hyperplasia.",none,['adverse_event']
"Case Report: We report a case of methanol poisoning exhibiting complete recovery from severe visual impairment following treatment with ethanol, fomepizole, and hemodialysis.",none,['none']
Viscoelastic material as an adjunct to dissections and to treat microperforations during nonpenetrating filtering surgery.,none,['none']
"The characteristics of the small subgroup of chronic anorexics, in whom the risk/benefit ratio may justify such a regime, are tentatively outlined.",none,['none']
"In addition, 1 of these biopsy specimens also had scattered single eosinophils, unlike autoimmune hepatitis.",none,['none']
"This article focuses on the methodological issues involved in choosing instruments to monitor behavior, once a comprehensive evaluation has suggested trials on Ritalin.",none,['none']
Sustained ventricular tachycardia in a thalidomide-treated patient with primary plasma-cell leukemia.,none,['adverse_event']
"In a postural challenge test after administration of isosorbide dinitrate (5 mg), blood pressure decreased from 120/67 to 65/35 mmHg, followed by syncope with a sudden decrease in pulse rate from 85 to 60 beats/min.",none,['adverse_event']
We report marked QT prolongation and torsades de pointes in a setting of flash pulmonary edema resulting from acute myocardial ischemia in a patient who was being treated with dofetilide for atrial fibrillation.,none,['adverse_event']
We believe that immunosuppression-induced pneumonitis in a lung allograft is a serious dilemma for lung transplant physicians,none,['none']
Echocardiogram showed normal left ventricular systolic function with mild mitral and tricuspid regurgitation and trace aortic insufficiency.,none,['none']
Bone marrow aplasia and severe skin rash after a single low dose of methotrexate.,none,['rash']
The infant was given indomethacin to induce constriction of sPDA.,none,['none']
"The deletion results in decreased CYP2D6 activity, possibly leading to drug accumulation.",none,['none']
BACKGROUND: This is the first communication of a fatal spontaneous spinal epidural hematoma following thrombolysis.,none,['hematoma']
Concentrated topical epinephrine is safe in endoscopic sinus surgery.,none,['none']
A case of necrotizing fasciitis of the vulva arising in a leukemic patient during a chemotherapy nadir is presented.,none,['none']
"The third patient had been suffering from serious akathisia while on risperidone, and was cured after switching to olanzapine, but thereafter the patient suffered from RLS at nighttime.",none,['adverse_event']
Tics and Tourette syndrome are common comorbidities of patients diagnosed with attention-deficit/hyperactivity disorder (ADHD).,none,['none']
"Laboratory determinations were used to directly evaluate therapeutic anticoagulant effects, and dosage regimens were adjusted to achieve desired anticoagulant levels.",none,['none']
The pathogenetic mechanism of these symptoms might possibly be explained as potentiation of the action of the neuroleptica by oral antidiabetics.,none,['none']
Life-threatening interstitial lung disease associated with trastuzumab: case report.,none,['adverse_event']
"Potential causes of methamphetamine-related keratitis can be divided into four categories resulting from (a) direct pharmacologic and physical effects of methamphetamine; (b) the toxic effects of diluting or ""cutting"" agents such as lidocaine and quinine; (c) effects related to the route of drug administration (intravenous, inhalation, smoking); and (d) manufacture-related effects of exposure to unintentional caustic contaminants in the final product.",stimulant,['adverse_event']
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,none,['adverse_event']
A 56-year-old Caucasian man who received concomitant chemotherapy and radiation for head and neck cancer developed fever concurrent with the administration of amifostine.,none,['adverse_event']
Radiologic recognition of adriamycin cardiotoxicity.,none,['adverse_event']
The lesions resolved after treatment with topical steroids and also oral allopurinol in one of the cases.,none,['none']
"The variation among different diagnostic criteria makes this syndrome a challenging diagnosis at times, in particular when atypical antipsychotics are suspected as the causative agent.",none,['none']
"Therefore, wide spectrum antibiotics were continued.",none,['none']
Monitoring of liver function tests should be mandatory in patients receiving high doses of cyproterone acetate; the drug should be withdrawn immediately if abnormal liver function tests are found.,none,['adverse_event']
The cause of hiccups should be expressly stated for treatment.,none,['none']
Thrombotic thrombocytopenic purpura (TTP) developed in a patient with seropositive rheumatoid arthritis (RA) after 2 1/2 months of treatment with penicillamine.,none,['adverse_event']
Spinal cord infarction during use of zolmitriptan: a case report.,none,['adverse_event']
Few studies have been carried out regarding preoperative chemotherapy utilized in the treatment of primitive neuroectodermal tumors/medulloblastomas (PNET/MB).,none,['none']
Multifocal osteomyelitis caused by Candida dubliniensis.,none,['none']
We describe the clinical course of these patients and their management aimed at maximizing the effectiveness of gold therapy.,none,['none']
Early onset of hemophagocytic syndrome following allogeneic bone marrow transplantation.,none,['none']
"The development of perianal fistulas in 2 patients, granuloma on biopsy in 1 patient and perianal skin tag in 1 patient, led to a diagnosis change of CD.",none,['none']
Aminoglycoside-associated hypomagnesaemia in children with cystic fibrosis.,none,['none']
Localized purpura associated with lamotrigine.,none,['adverse_event']
"All symptoms disappeared soon after stopping the drugs, though in two cases the papilloedema persisted for many months.",none,['none']
"The mean histologic activity index scores for patients in groups 1 and 2, respectively, were 6.7 and 5.4.",none,['none']
"Several cases of lithium-induced Creutzfeldt-Jakob syndrome have been reported to date; all of them were elderly patients and a half had ""therapeutic"" lithium serum levels.",none,['adverse_event']
"The absence of borderline mutations in the normal population, and the co-segregation of the expanded allele with neurological signs in one kindred suggest that SCA2 mutations may be responsible for a subset of familial parkinsonism.",none,['none']
Laboratory evaluation ruled out the most common causes of fulminant hepatitis.,none,['none']
Transient leucopenia and thrombocytopenia associated with sodium nitroprusside infusion.,none,['adverse_event']
Voriconazole (VRC) has not previously been reported to cause angio-oedema.,none,['adverse_event']
The risk is probably higher with valproic acid than carbamazepine.,none,['none']
"Although uncommon, exogenous lipoid pneumonia (ELP) should be considered when patients present with this symptom complex.",none,['none']
Drug-induced interstitial nephritis in a child with idiopathic nephrotic syndrome.,none,['none']
"The reported effects of these agents in increasing total Hb, however, have been inconsistent and there have been no studies on the combination of these medications.",none,['none']
They had not been transfusion-dependent prior to treatment.,none,['none']
The occurrence of neuromuscular blockade and the resulting potentiation of muscle relaxants during magnesium sulfate (MgSO4) administration is well known.,none,['adverse_event']
"The patient had required two surgical decompressions of the right orbit to relieve pressure, which occurred secondary to progression of the exophthalmos, and was scheduled for further surgery.",none,['none']
Intravenous epoprostenol was administered perioperatively to control the pulmonary hypertension in both instances.,none,['none']
"Dermatomyositis, complicated with pneumomediastinum, successfully treated with cyclosporine A: a case report and review of literature.",none,['none']
Repeated blood transfusions were associated with rapidly evolving renal failure coupled with anemia and thrombocytopenia.,none,['none']
How safe is our blood transfusion?,none,['none']
"The pathogenesis of autoimmune hepatitis entails complex interactions between triggering factors, autoantigens, genetic predisposition, and immunoregulatory networks.",none,['none']
Dose-intensive melphalan with blood stem cell support for the treatment of AL amyloidosis: one-year follow-up in five patients.,none,['none']
Case report.,none,['none']
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",none,['adverse_event']
This case and other published evidence should alert physicians to the possibility of fatal erlotinib-induced ILD.,none,['adverse_event']
Acute hemorrhagic gastritis associated with acetazolamide intoxication in a patient with chronic renal failure.,none,['adverse_event']
Two patients received corticosteroids as well as parenteral nutrition during the course of their disease.,none,['none']
"Seizures and extrapyramidal symptoms in a patient with Tourette's syndrome, Asperger's syndrome, and multiple sclerosis treated with interferon beta-1a and clomipramine.",none,['seizure']
"However, five patients showed delayed 30-Hz flicker b waves, and seven patients showed delayed oscillatory potentials.",none,['none']
"Treatment with oral 25-hydroxyvitamin D3, 50 microgram daily, produced marked biochemical, radiological, and histological improvement after 6 months.",none,['none']
Early postsplenectomy arthritis caused by penicillin-resistant Streptococcus pneumoniae.,none,['none']
He had a history of treatment-resistant chronic schizophrenia.,none,['none']
A 55-year-old woman received 2 cycles of therapy with cisplatin 100 mg/m2 without difficulty.,none,['none']
"If this patient would have died suddenly without the laboratory investigations that lead to the diagnosis of myeloblastic leukemia, the cause would have been probably and wrongfully allotted to treatment with olanzapine.",none,['none']
Both patients had laboratory-proven subtherapeutic anticonvulsant serum levels.,none,['none']
The patient was transferred to a rehabilitation center.,none,['none']
10 and 15 exchanges of PD using an automated cycler were respectively performed during the first and second 24-hour periods after gadolinium exposure.,none,['none']
She received no other concomitant medications.,none,['none']
A case report with emphasis on medication and management.,none,['none']
The first patient's KI67 level was 2.5% and was positive for the progesterone and estrogen receptor.,none,['none']
Their hair grew back after 2-3 months steroid therapy.,none,['none']
"Infection and thromboembolic events are relatively frequent complications, but aneurysm formation is rare.",none,['none']
Sciatic nerve compression very rarely occurs bilaterally.,none,['none']
"Instead of diverse antiretroviral therapies, the viral load was increased.",none,['none']
All three patients likely experienced electromechanical dissociation (EMD).,none,['none']
"CASE SUMMARY: A 65-year-old patient chronically treated with the selective serotonin reuptake inhibitor (SSRI) citalopram developed confusion, agitation, tachycardia, tremors, myoclonic jerks and unsteady gait, consistent with serotonin syndrome, following initiation of fentanyl, and all symptoms and signs resolved following discontinuation of fentanyl.",opioid,['confusion']
D-penicillamine induced crescentic glomerulonephritis: report and review of the literature.,none,['adverse_event']
An 18-year-old man with attention-deficit-hyperactivity disorder (ADHD) was prescribed varenicline for smoking cessation.,none,['none']
Thrombotic thrombocytopenic purpura induced by trimethoprim-sulfamethoxazole in a Jehovah's Witness.,none,['adverse_event']
"Recently, some studies have also reported association between patients with juvenile rheumatoid arthritis (JRA) treated with Methotrexate (MTX) and malignant lymphoma developing.",none,['adverse_event']
"METHODS: Between 1990 and 2003, 218 patients underwent an all-polymethylmethacrylate, collar button-shaped KPro surgery.",none,['none']
"Patients with a history of previous coronary artery disease or risk factors for coronary artery disease should be observed closely for signs of myocardial ischemia, particularly during the initial infusion.",none,['none']
Possible causal mechanisms are discussed.,none,['none']
"RESULTS: Nine patients were cured, one patient with poor adherence to treatment and advanced AIDS died.",none,['none']
Serious lead poisoning in childhood: still a problem after a century.,none,['none']
BACKGROUND: Colchicine has a known adverse effect on wound healing through its inhibitory effect on tubulin-dependent cell functions and through collagenase activation.,none,['adverse_event']
"No dose-rate effect has been reported, however.",none,['none']
Other toxicities were generally mild.,none,['none']
The aim of this study was to determine the usefulness of skin tests in ruling out cross-reaction to cisplatin to continue platinum-based chemotherapy in patients who are responsive to these agents.,none,['none']
One month later the patient remained symptom-free.,none,['none']
Histochemistry identified a calcium containing melanin-like substance.,none,['none']
"Corynebacterium striatum has rarely been reported to be a pathogen, causing pleuropulmonary infections and bacteremia in only immunocompromised or anatomically altered patients.",none,['none']
"However, all Brown Norway rats that received estradiol treatment developed pyometra, whereas none the Sprague Dawley or control Brown Norway rats did.",none,['none']
Necrotizing fasciitis secondary to bisphosphonate-induced osteonecrosis of the jaw.,none,['none']
"While more studies are needed to better understand the mechanism of action after suspending HAART, the complete resolution of the signs and symptoms was observed.",none,['none']
Seven psychiatric inpatients receiving carbamazepine 600 mg/day were coadministered clarithromycin 400 mg/day for 5 days to treat atypical pneumonia.,none,['none']
A mosaic karyotype with XY and XO was found on chromosomal analysis and gonadectomy was performed in view of the high risk of gonadoblastoma.,none,['none']
Super potent topical corticosteroid use associated with adrenal suppression: clinical considerations.,none,['none']
"On hospital day 2 his platelet count dropped to 47,000/microl and bottomed out at 36,000/microl by day 3 with other blood cell counts remaining within normal limits.",none,['none']
"We consider asterixis to be an easily overlooked sign of neurotoxicity, which may occur even at low or moderate dosage levels, if certain drugs as lithium or clozapine are used in combination with CBZ.",none,['adverse_event']
Chronic postoperative bacterial endophthalmitis has recently assumed a prominent role in differential diagnosis of inflammation following extracapsular cataract extraction with posterior chamber intraocular lens implantation.,none,['none']
METHODS: A 68-year-old man developed intense conjunctival hyperemia and cystoid macula edema after switching from latanoprost to bimatoprost 9 months after cataract surgery in an eye at low-risk for this cystoid macular edema.,none,['adverse_event']
"Additionally, ceftriaxone may cause problems in either adults or children with preexisting disease, who may not be well-nourished, or who may be dehydrated.",none,['none']
Severe heparin associated thrombocytopenia is a rare complication of heparin therapy.,none,['adverse_event']
"C1-inhibitor deficiency, or hereditary angioedema, is a genetic disorder characterized by recurrent circumscribed, nonpruritic, nonpitting subepithelial edema.",none,['none']
A severe form of exophthalmos resulting from lithium therapy has not been described in the literature.,none,['adverse_event']
Ampicillin-associated seizures.,none,['seizure']
Differentiation between recurrent tumor and radiation necrosis in a child with anaplastic ependymoma after chemotherapy and radiation therapy.,none,['none']
"Analysis of the pharmacokinetic data suggests that haemodialysis or haemofiltration would be more efficacious for removal of the drug, and these treatments should be performed if available.",none,['none']
Two inactive patients received no corticosteroids before or after the diagnosis of pancreatitis.,none,['none']
"Even with the low dose of neuraxial drugs commonly administered in combined spinal-epidural labor analgesia, this case underscores the importance of vigilance, frequent monitoring, proper positioning, and rapid resuscitation with escalating doses of ephedrine, atropine, and epinephrine, all of which are essential in the presence of bradycardia or asystole in these patients.",none,['none']
The case report of the corticosteroid complication in an eight-year-old girl with immune thrombocytopenic purpura is presented.,none,['none']
A 17-year-old boy with acute lymphoblastic leukemia developed acute renal failure within 48 h of an intravenous high-dose methotrexate (5 g/m2) infusion.,none,['adverse_event']
After a seizure-free period of 3 months the patient died from hepatic failure resembling Reye syndrome.,none,['seizure']
Intranasal desmopressin provides symptomatic relief with few serious complications.,none,['none']
The cost of care for the enterally supported child was less than one third of the TPN-supported child.,none,['none']
We believe that this is the first report of secretory carcinoma of the endometrium associated with tamoxifen use.,none,['adverse_event']
CONCLUSIONS: TNF-alpha inhibitors in general should be used cautiously in chronic hepatitis B viral infection.,none,['none']
The patient was treated with radiofrequency cautery and is now asymptomatic.,none,['none']
"A patient developed transient, acute myopia while on isotretinoin (Accutane) therapy for acne.",none,['adverse_event']
"Combination of sodium thiosulphate, cinacalcet, and paricalcitol in the treatment of calciphylaxis with hyperparathyroidism.",none,['none']
Pure red cell aplasia due to parvovirus B19 infection after liver transplantation: a case report and review of the literature.,none,['none']
